tweet_id,content,category,timestamp
1920041018763723222,The future is on-chain. #Web3,original,2025-05-07T09:00:25.463076
1920056119608647888,The future is on-chain. #Web3,reply,2025-05-07T10:00:25.738345
1920403457262969059,The future is modular. #Web3,original,2025-05-08T09:00:38.283211
1920418558124691761,The future is modular. #Web3,reply,2025-05-08T10:00:38.600132
1920516607681421687,"""Decentralization: Because we all know it's more fun to be the CEO of our own life. Welcome to the era of #Web3 where reality feels like a blockchain-powered episode of Black Mirror, but with less dystopia & more gains! 🚀""",original,2025-05-08T16:30:15.229444+00:00
1920517882422722678,*** Daily Dobie Crypto Update ***\n\n📰 Headline: Ex-Celsius CEO asks to travel for a wedding after sentencing\n📈 Token: $CRYPTO\n🧠 Summary: Here's what it means — 🧵,news_thread,2025-05-08T16:35:19.143096+00:00
1920517908867756081,"""Just pulled an all-nighter... Did I spent that time on Netflix? Nahh. More about Uniswapping some ETH, yield farming on PancakeSwap, and micromanaging my NFTs. Who knew #DeFi was more addictive than binge-watching? #FeelsLikeASitcom #Web",original,2025-05-08T16:35:25.456126+00:00
1920557084824817683,"*** Daily Dobie Crypto Update *** (May 08, 2025)

📰 Headline: Bitcoin price reclaims $100K for first time since January
📈 Token: $BTC
🧠 Summary: Here's what it means — 🧵",top_news_thread,2025-05-08T19:11:05.641600+00:00
1920560822943732045,1/ Big news in the crypto world as Bitcoin reclaims the $100K mark for the first time since January. This is a significant psychological barrier and its breach indicates a strong bullish sentiment among investors.,top_news_thread,2025-05-08T19:25:56.861174+00:00
1920916745675550752,1/ Some big news for #Bitcoin today! The leading crypto has reclaimed the $100K mark for the first time since January. This resurgence indicates a renewed investor confidence in the digital asset space.,top_news_thread,2025-05-09T20:00:14.691601
1921113221659791512,1/5: $BTC teasing us like a pricey prom date with a negligible -0.01% dip to $103767. Just a gentle reminder that even the King of Crypto needs to catch a breath once in a while before the next dance. 💃⛓️ #Bitcoin #Crypto,market_thread,2025-05-10T09:00:59.353470
1921128267378995559,"""Crypto volatility keeps us on our toes, but remember, even rollercoasters climb to great heights. Stay in for the ride. #cryptotrends #HODL""",quote,2025-05-10T10:00:46.486179
1921143379183767805,"""Brilliant perspective on the bleeding edge of #crypto! Remember folks, investing wisely is not about catching the 'next big thing,' but understanding the tech & market. To the moon safely, not hastily!🚀💰 #BlockchainGuru #BTC""",reply,2025-05-10T11:00:49.390402
1921279097671389667,"1/ The crypto world is buzzing with Meta's potential foray into tokens. It seems as though big tech's interest in crypto isn't cooling, despite regulatory challenges. A fascinating shift from traditional revenue models to blockchain-based systems.",top_news_thread,2025-05-10T20:00:06.894887
1921460500442825053,1/4 🚀Daily Dobie Update🚀 Let's dive deep into the #Crypto world!💥,news_thread,2025-05-11T08:00:56.264855
